k,threshold,precision,recall,f1,false_positive_rate,retrieval_mrr,avg_similarity,rank_of_first_match
1,0.1,0.749238578680203,0.749238578680203,0.749238578680203,1.0,0.749238578680203,0.543268580969215,1.250761421319797
1,0.2,0.749238578680203,0.749238578680203,0.749238578680203,1.0,0.749238578680203,0.543268580969215,1.250761421319797
1,0.25,0.7507629704984741,0.749238578680203,0.75,0.9979695431472081,0.749238578680203,0.5438847804966924,1.250761421319797
1,0.3,0.7577639751552795,0.7431472081218274,0.7503844182470528,0.9807106598984772,0.7431472081218274,0.5486042219412747,1.2568527918781727
1,0.35,0.7571884984025559,0.7218274111675127,0.739085239085239,0.9532994923857868,0.7218274111675127,0.5549675827970901,1.2781725888324873
1,0.5,0.7957957957957958,0.5380710659898477,0.6420351302241066,0.6761421319796954,0.5380710659898477,0.6036466721657876,1.4619289340101522
1,0.7,0.8076923076923077,0.04263959390862944,0.08100289296046286,0.05279187817258883,0.04263959390862944,0.7437520531507639,1.9573604060913705
1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,0.1,0.42057026476578413,0.8385786802030457,0.5601898948796202,1.0,0.7939086294416243,0.48958564869862226,1.4121827411167513
2,0.2,0.4216436957631445,0.8385786802030457,0.5611413043478262,1.0,0.7939086294416243,0.4903903378705214,1.4121827411167513
2,0.25,0.427536231884058,0.8385786802030457,0.5663352759684609,0.9979695431472081,0.7939086294416243,0.4940496153095988,1.4121827411167513
2,0.3,0.441446303291959,0.8304568527918782,0.57646229739253,0.9807106598984772,0.7868020304568528,0.5033434341871217,1.4263959390862944
2,0.35,0.4618991793669402,0.8,0.5856558900037161,0.9532994923857868,0.7609137055837564,0.518564995784413,1.4781725888324873
2,0.5,0.6044538706256628,0.5786802030456852,0.5912863070539419,0.6761421319796954,0.5583756345177665,0.5911625351278804,1.883248730964467
2,0.7,0.8076923076923077,0.04263959390862944,0.08100289296046286,0.05279187817258883,0.04263959390862944,0.7437520531507639,2.914720812182741
2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,0.1,0.29599456890699255,0.8852791878172589,0.4436530145001272,1.0,0.8094754653130292,0.46089367423831246,1.5269035532994923
3,0.2,0.29740791268758526,0.8852791878172589,0.44523870308909885,1.0,0.8094754653130292,0.4622485403677939,1.5269035532994923
3,0.25,0.304575619979043,0.8852791878172589,0.45322245322245325,0.9979695431472081,0.8094754653130292,0.46787224651174114,1.5269035532994923
3,0.3,0.3211760327502791,0.8761421319796955,0.4700435729847494,0.9807106598984772,0.8020304568527922,0.4802848881489733,1.550253807106599
3,0.35,0.3480639730639731,0.8395939086294416,0.4921154418327879,0.9532994923857868,0.774111675126904,0.5003018960958779,1.6385786802030458
3,0.5,0.5278776978417267,0.5959390862944163,0.5598474010491179,0.6761421319796954,0.564128595600677,0.5854807127829936,2.2873096446700507
3,0.7,0.8076923076923077,0.04263959390862944,0.08100289296046286,0.05279187817258883,0.04263959390862944,0.7437520531507639,3.872081218274112
3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,0.1,0.2285568847034869,0.9116751269035533,0.3654863654863654,1.0,0.8160744500846028,0.4415984597027711,1.615228426395939
4,0.2,0.23025641025641025,0.9116751269035533,0.36765609007164785,1.0,0.8160744500846028,0.4435523326580341,1.615228426395939
4,0.25,0.23750330600370273,0.9116751269035533,0.37683592110784725,0.9979695431472081,0.8160744500846028,0.45033416888979305,1.615228426395939
4,0.3,0.2550316273720529,0.9005076142131979,0.3974904772574502,0.9807106598984772,0.8081218274111679,0.4653473745275325,1.649746192893401
4,0.35,0.28393817204301075,0.8578680203045685,0.4266599343600101,0.9532994923857868,0.7786802030456857,0.48876701479637497,1.7807106598984772
4,0.5,0.4801940177849636,0.6030456852791878,0.5346534653465347,0.6761421319796954,0.5659052453468699,0.5821939589231363,2.684263959390863
4,0.7,0.8076923076923077,0.04263959390862944,0.08100289296046286,0.05279187817258883,0.04263959390862944,0.7437520531507639,4.829441624365482
4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5,0.1,0.18580460942280236,0.9248730964467005,0.30944293478260865,1.0,0.8187140439932326,0.4276004208974782,1.6903553299492386
5,0.2,0.18764160659114315,0.9248730964467005,0.31198630136986305,1.0,0.8187140439932326,0.4300677695431498,1.6903553299492386
5,0.25,0.19490254872563717,0.9238578680203046,0.321896002829855,0.9979695431472081,0.8185109983079534,0.4381177202361788,1.6913705583756344
5,0.3,0.21289710763394973,0.9116751269035533,0.3451854699211993,0.9807106598984772,0.8103553299492391,0.45523135838151374,1.7380710659898477
5,0.35,0.24325092355782893,0.8690355329949239,0.38010657193605685,0.9532994923857868,0.780913705583757,0.4808859874084952,1.9116751269035532
5,0.5,0.44752623688155924,0.6060913705583756,0.5148771021992238,0.6761421319796954,0.5665143824027075,0.5801464539953972,3.078172588832487
5,0.7,0.8076923076923077,0.04263959390862944,0.08100289296046286,0.05279187817258883,0.04263959390862944,0.7437520531507639,5.786802030456853
5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7,0.1,0.1346938775510204,0.9380710659898477,0.2355640535372849,1.0,0.820792845056805,0.4072726427552999,1.8192893401015229
7,0.2,0.13670661340434975,0.9380710659898477,0.23863636363636362,1.0,0.820792845056805,0.4107167235332968,1.8192893401015229
7,0.25,0.1443089430894309,0.9370558375634518,0.2501016122476629,0.9979695431472081,0.8205897993715259,0.4210732094267892,1.8223350253807107
7,0.3,0.16252013603006982,0.9218274111675127,0.27632379793061473,0.9807106598984772,0.8119265167996138,0.441765442898646,1.899492385786802
7,0.35,0.19284116331096196,0.8751269035532995,0.31604032997250225,0.9532994923857868,0.7818805897993719,0.4706381562972229,2.163451776649746
7,0.5,0.40214477211796246,0.6091370558375635,0.4844570044408559,0.6761421319796954,0.5669978245105151,0.5769583723100836,3.8609137055837564
7,0.7,0.8076923076923077,0.04263959390862944,0.08100289296046286,0.05279187817258883,0.04263959390862944,0.7437520531507639,7.701522842639594
7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0
10,0.1,0.095942088091354,0.9553299492385787,0.17437227832854632,1.0,0.8228007412778993,0.38699099313327967,1.9644670050761421
10,0.2,0.09835894219713599,0.9553299492385787,0.17835481425322214,1.0,0.8228007412778993,0.39228245590726724,1.9644670050761421
10,0.25,0.10589163005519883,0.9543147208121827,0.19063070371121477,0.9979695431472081,0.82259769559262,0.40499971724582495,1.9705583756345177
10,0.3,0.12341222088514507,0.9370558375634518,0.21810018903591682,0.9807106598984772,0.8137059866247689,0.4288739640535175,2.09746192893401
10,0.35,0.15403595347197743,0.8873096446700508,0.2625018771587325,0.9532994923857868,0.7832793489646285,0.4616401543342441,2.5106598984771575
10,0.5,0.3615751789976134,0.6152284263959391,0.455467869222097,0.6761421319796954,0.5676774635404079,0.5731404043538474,5.021319796954315
10,0.7,0.8076923076923077,0.04263959390862944,0.08100289296046286,0.05279187817258883,0.04263959390862944,0.7437520531507639,10.573604060913706
10,0.9,0.0,0.0,0.0,0.0,0.0,0.0,11.0
