k,threshold,precision,recall,f1,false_positive_rate,retrieval_mrr,avg_similarity,rank_of_first_match
1,0.1,0.38274111675126904,0.38274111675126904,0.38274111675126904,1.0,0.38274111675126904,0.3974461291042076,1.617258883248731
1,0.2,0.3943217665615142,0.38071065989847713,0.38739669421487605,0.965482233502538,0.38071065989847713,0.4053400847688709,1.619289340101523
1,0.25,0.41609977324263037,0.3725888324873096,0.3931440814140332,0.8954314720812183,0.3725888324873096,0.41929651110891314,1.6274111675126903
1,0.3,0.4496732026143791,0.349238578680203,0.3931428571428572,0.7766497461928934,0.349238578680203,0.44113318709766164,1.650761421319797
1,0.35,0.47874015748031495,0.3086294416243655,0.3753086419753086,0.6446700507614214,0.3086294416243655,0.46510823852433936,1.6913705583756344
1,0.5,0.5297029702970297,0.10862944162436548,0.18028643639427128,0.2050761421319797,0.10862944162436548,0.5567353459277956,1.8913705583756346
1,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,1.9969543147208122
1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,0.1,0.24034552845528456,0.48020304568527916,0.3203521842194379,1.0,0.43147208121827413,0.373712898421336,2.1370558375634516
2,0.2,0.25053418803418803,0.4761421319796954,0.328316415820791,0.965482233502538,0.42842639593908627,0.3839755814172264,2.1431472081218272
2,0.25,0.26943620178041544,0.46091370558375633,0.34007490636704124,0.8954314720812183,0.416751269035533,0.401442360630375,2.166497461928934
2,0.3,0.2966339410939691,0.4294416243654822,0.3508917461634176,0.7766497461928934,0.38934010152284265,0.42429633612050915,2.221319796954315
2,0.35,0.3342342342342342,0.3766497461928934,0.3541766109785202,0.6446700507614214,0.3426395939086294,0.4527327887109808,2.314720812182741
2,0.5,0.42142857142857143,0.11979695431472082,0.18656126482213437,0.2050761421319797,0.11421319796954314,0.5530770702021462,2.771573604060914
2,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,2.9939086294416244
2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,0.1,0.1784260515603799,0.534010152284264,0.26748029494024916,1.0,0.44940778341793547,0.35941231671311313,2.603045685279188
3,0.2,0.18736462093862816,0.5269035532994923,0.27643142476697735,0.965482233502538,0.44534686971235177,0.37143386445320903,2.616243654822335
3,0.25,0.2050020500205002,0.5076142131979695,0.29205607476635514,0.8954314720812183,0.43231810490693734,0.39115786095435817,2.6588832487309646
3,0.3,0.2265547877591313,0.46598984771573604,0.3048820989704417,0.7766497461928934,0.40152284263959387,0.41459707061135875,2.7553299492385785
3,0.35,0.262982689747004,0.4010152284263959,0.3176517893043828,0.6446700507614214,0.3507614213197969,0.4459964302424267,2.9137055837563453
3,0.5,0.36666666666666664,0.12284263959390863,0.18403041825095057,0.2050761421319797,0.11522842639593908,0.5507155550248695,3.648730964467005
3,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,3.9908629441624366
3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,0.1,0.14689409368635437,0.5857868020304569,0.23488703439853448,1.0,0.4623519458544836,0.34902105548716855,3.017258883248731
4,0.2,0.15547024952015356,0.5756345177664974,0.24481865284974097,0.965482233502538,0.45752961082910293,0.36271702622203655,3.0406091370558377
4,0.25,0.1706700379266751,0.5482233502538071,0.2603036876355748,0.8954314720812183,0.4424703891708966,0.3836519631701987,3.110659898477157
4,0.3,0.19299610894941635,0.5035532994923858,0.2790436005625879,0.7766497461928934,0.41091370558375623,0.4084623846562456,3.251776649746193
4,0.35,0.23030961434003258,0.4304568527918782,0.300070771408351,0.6446700507614214,0.35812182741116744,0.44168151023917585,3.483248730964467
4,0.5,0.34146341463414637,0.12791878172588833,0.1861152141802068,0.2050761421319797,0.11649746192893401,0.5492420690815624,4.520812182741117
4,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,4.987817258883249
4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5,0.1,0.12380175402814603,0.616243654822335,0.20618206521739127,1.0,0.468443316412859,0.3409664261445643,3.401015228426396
5,0.2,0.13205869275233437,0.6030456852791878,0.21666970636512858,0.965482233502538,0.46301184433164083,0.35624457846063146,3.43756345177665
5,0.25,0.14555814555814556,0.5705583756345177,0.23194387123400745,0.8954314720812183,0.4469373942470386,0.37788234270165477,3.54010152284264
